step,epoch,loss,rewards_chosen,rewards_rejected,rewards_accuracies,rewards_margins,grad_norm,learning_rate
10,0.0082,0.692,0.00209,-0.000306,0.425,0.002396,2.016,1.233e-06
20,0.0164,0.6923,-0.0009346,-0.002739,0.5375,0.001804,1.852,2.603e-06
30,0.0246,0.6886,0.003981,-0.005364,0.65,0.009345,2.344,3.973e-06
40,0.0328,0.6793,0.01503,-0.01325,0.8,0.02829,3.25,5.342e-06
50,0.041,0.6667,0.02099,-0.03329,0.8875,0.05428,1.641,6.712e-06
60,0.0492,0.6464,0.03608,-0.0619,0.9,0.09799,1.539,8.082e-06
70,0.0574,0.6214,0.03717,-0.1171,0.8625,0.1543,2.125,9.452e-06
80,0.0656,0.5726,0.06954,-0.1972,0.9375,0.2667,1.609,1.082e-05
90,0.0738,0.5354,0.04881,-0.3169,0.9125,0.3657,1.875,1.219e-05
100,0.082,0.5061,-0.03013,-0.4717,0.95,0.4416,2.281,1.356e-05
110,0.0902,0.4685,-0.0966,-0.6539,0.95,0.5573,3.672,1.493e-05
120,0.0984,0.3862,-0.2351,-1.05,0.975,0.8145,1.883,1.63e-05
130,0.1066,0.2946,-0.3853,-1.584,0.9625,1.199,1.078,1.767e-05
140,0.1148,0.2548,-0.8073,-2.232,0.9625,1.424,1.82,1.904e-05
150,0.123,0.1656,-0.948,-3.065,0.9875,2.117,2.594,2.041e-05
160,0.1312,0.1089,-1.503,-4.112,1,2.608,1.516,2.178e-05
170,0.1394,0.07305,-1.86,-5.462,0.9875,3.602,2.641,2.315e-05
180,0.1476,0.04731,-2.243,-6.393,1,4.151,1.094,2.452e-05
190,0.1558,0.03663,-2.84,-7.665,0.9875,4.824,0.4785,2.589e-05
200,0.164,0.05048,-3.374,-9.026,0.9875,5.651,0.9453,2.726e-05
210,0.1722,0.01364,-3.714,-9.918,1,6.204,0.08105,2.863e-05
220,0.1804,0.005532,-4.471,-11.78,1,7.313,0.1543,3e-05
230,0.1886,0.007227,-4.693,-12.46,1,7.763,0.03442,3.137e-05
240,0.1968,0.004057,-4.873,-12.73,1,7.855,0.3008,3.274e-05
250,0.205,0.002729,-4.924,-13.38,1,8.459,0.04492,3.411e-05
260,0.2132,0.006896,-5.202,-13.85,1,8.65,0.1729,3.548e-05
270,0.2214,0.01278,-5.607,-14.08,1,8.468,0.6055,3.685e-05
280,0.2296,0.004519,-5.039,-14,1,8.959,3.391,3.822e-05
290,0.2378,0.001332,-4.776,-14.07,1,9.296,0.06055,3.959e-05
300,0.246,0.001582,-4.415,-13.93,1,9.515,0.02417,4.096e-05
310,0.2542,0.003413,-5.04,-14.49,1,9.452,0.05176,4.233e-05
320,0.2624,0.001279,-6.068,-16.42,1,10.35,0.06836,4.37e-05
330,0.2706,0.004219,-6.016,-16.81,1,10.79,0.01868,4.507e-05
